age_group,party,theta_2.5,theta_50,theta_97.5
"(16, 24)",Potencia,2.1959380797978286e-15,1.1832153694398674e-09,0.0004590230263347268
"(16, 24)",FUERZA PATRIA,0.004411344599281473,0.21756782232834254,0.47634212685749727
"(16, 24)",LIBERTAD AVANZA,0.23558352485255096,0.5190372594841379,0.7787977949527022
"(16, 24)",PRIMERO ROSALES,0.03357732925272594,0.15560584399411,0.26626955182369566
"(16, 24)",Somos,2.3188790230166353e-08,0.014829970368368521,0.1045078837632197
"(16, 24)",Union y libertad,5.76136778822605e-07,0.041600683077505876,0.16780566220145335
"(16, 24)",Es con vos,9.00068597085632e-28,8.500052867333099e-08,0.023597071733144258
"(16, 24)",FIT,1.5823690731344834e-08,0.021321860752126637,0.10497846037645535
"(25, 30)",Potencia,0.00434608249254298,0.2544324963372252,0.5293348216508562
"(25, 30)",FUERZA PATRIA,0.03336261412469182,0.32940668950933505,0.6922131861519705
"(25, 30)",LIBERTAD AVANZA,6.182362946274451e-05,0.23915316091601263,0.726021060866338
"(25, 30)",PRIMERO ROSALES,1.2262025730430587e-13,0.00016750120621722878,0.09089047043094245
"(25, 30)",Somos,2.3017317936283637e-05,0.07128649235157414,0.17560177998750043
"(25, 30)",Union y libertad,4.3305521033911965e-12,6.840083042079709e-05,0.08037013737200065
"(25, 30)",Es con vos,1.0234159056008536e-31,3.649356473162999e-15,0.012559147359100539
"(25, 30)",FIT,1.513394772912397e-11,0.020631318735560917,0.1329705085939989
"(31, 44)",Potencia,1.5952969047380022e-10,1.689675262411822e-05,0.03129407670634996
"(31, 44)",FUERZA PATRIA,0.033023759769745385,0.2372693952844539,0.42698687329314555
"(31, 44)",LIBERTAD AVANZA,0.3288938187052763,0.5361565833028954,0.7406542117646063
"(31, 44)",PRIMERO ROSALES,6.955517288511498e-06,0.02723409714638972,0.09503201139917368
"(31, 44)",Somos,0.0002304057177612538,0.031548082480261586,0.08090917579864133
"(31, 44)",Union y libertad,0.04897262571052022,0.12958169980538137,0.1951281053336567
"(31, 44)",Es con vos,1.5232270688848216e-12,0.011571166506287152,0.028611687309224296
"(31, 44)",FIT,3.077493159276914e-07,0.015067209382590898,0.07138344832636256
"(45, 60)",Potencia,0.00024277134214675775,0.05250334173956129,0.12532094741152908
"(45, 60)",FUERZA PATRIA,0.000201014299417273,0.12048463507967436,0.42871058725599803
"(45, 60)",LIBERTAD AVANZA,0.35396099047432983,0.6906488990847943,0.8936346229403024
"(45, 60)",PRIMERO ROSALES,1.0425916296012274e-05,0.024809246683775092,0.08251355947650345
"(45, 60)",Somos,1.1608852165352844e-05,0.013144013814167053,0.06904691913729115
"(45, 60)",Union y libertad,5.647988772714501e-06,0.011757060948057165,0.08142798366516499
"(45, 60)",Es con vos,5.509845807527428e-20,0.00043341426406230297,0.01912418533246845
"(45, 60)",FIT,0.0012243511907208428,0.055129326618916716,0.10575040246506548
"(61, 200)",Potencia,0.3694660740125031,0.4784696513384974,0.587631868514387
"(61, 200)",FUERZA PATRIA,0.05757556059158639,0.30208425833954555,0.4631882341811989
"(61, 200)",LIBERTAD AVANZA,5.982539309543099e-12,0.007968231998138637,0.32135828357798485
"(61, 200)",PRIMERO ROSALES,4.347200223503984e-15,1.6370962265810744e-06,0.041510589796264354
"(61, 200)",Somos,0.046140275036076366,0.09867691380221502,0.14491621464732357
"(61, 200)",Union y libertad,8.287896890755793e-05,0.040213995969220796,0.10016771420231607
"(61, 200)",Es con vos,2.5757238037156567e-20,0.0044371510203147614,0.022760792395210935
"(61, 200)",FIT,1.2610277099584678e-11,0.004884230469707299,0.05454522335365394
