age_group,party,theta_2.5,theta_50,theta_97.5
"(16, 24)",LLA,0.5488932526388572,0.9309375491500738,0.9998655394412168
"(16, 24)",NUEVO BUENOS AIRES,1.1839954981503105e-104,8.265386720319197e-29,0.041292403319015375
"(16, 24)",LIBERAR,2.5029814652205997e-65,2.009191173907293e-06,0.03510460665954044
"(16, 24)",FIT,2.0109948855478034e-32,1.0512124622178114e-11,0.0065397784847823145
"(16, 24)",FRENTE PATRIOTA FEDERAL,9.850187435057185e-34,6.727242142008827e-15,0.013550837427522942
"(16, 24)",UNION LIBERAL,2.2555884185623592e-46,0.03156742774016655,0.05073473887219685
"(16, 24)",ALIANZA FUERZA PATRIA,9.151294385218056e-14,1.5689468926576213e-07,0.23438705431595291
"(16, 24)",COALICION CIVICA ARI,1.9607901092006677e-94,7.278730505554277e-44,5.415924296251195e-13
"(16, 24)",MOV. POL. SOC. Y CULTURAL PROYECTO SUR,7.481604371726733e-70,1.2623226933953641e-31,2.3076550272348778e-09
"(16, 24)",PROPUESTA FEDERAL PARA EL CAMBIO,8.254515375487648e-20,8.107445517133052e-05,0.14287865938110886
"(16, 24)",ALIANZA PROVINCIAS UNIDAS,8.409890222200267e-127,5.037400005661089e-37,1.3696540458716313e-12
"(16, 24)",ALIANZA POTENCIA,1.8979417398003152e-29,4.754066713054752e-12,0.07738294732823837
"(16, 24)",ALIANZA UNION FEDERAL,2.529840716732997e-71,3.553918861690391e-05,0.027313888810197726
"(16, 24)",ALIANZA NUEVOS AIRES,4.603963048778741e-42,8.144911381631011e-07,0.03900659069905596
"(16, 24)",MOVIMIENTO AVANZADA SOCIALISTA,6.736102158323096e-39,1.626801655073545e-10,0.05006830932885926
"(25, 30)",LLA,1.0288878628193177e-09,0.001165996998857466,0.6038786610554562
"(25, 30)",NUEVO BUENOS AIRES,2.1117561505752296e-30,0.003603700558613434,0.12349509670711839
"(25, 30)",LIBERAR,7.720906444022346e-99,0.0007704605577443912,0.050511257655231075
"(25, 30)",FIT,1.675268604592992e-07,0.16191033768396812,0.3016232222628511
"(25, 30)",FRENTE PATRIOTA FEDERAL,8.990897461677208e-26,9.929989394936382e-05,0.11026552431947485
"(25, 30)",UNION LIBERAL,1.8170011394041294e-69,9.88248396594918e-15,0.04738279079398631
"(25, 30)",ALIANZA FUERZA PATRIA,0.044084748764039595,0.5757193197583441,0.9689287588129212
"(25, 30)",COALICION CIVICA ARI,1.4375210761680373e-42,0.0025466243611167406,0.08475060595345292
"(25, 30)",MOV. POL. SOC. Y CULTURAL PROYECTO SUR,6.099829762736427e-66,9.002140360694112e-29,1.079838803629268e-06
"(25, 30)",PROPUESTA FEDERAL PARA EL CAMBIO,2.4878862534640767e-25,0.0007223435197459265,0.2744285893446234
"(25, 30)",ALIANZA PROVINCIAS UNIDAS,1.108512578562073e-51,3.319689908463539e-20,9.845454079937458e-08
"(25, 30)",ALIANZA POTENCIA,9.954381867514696e-13,0.021383779218665227,0.16758881333091472
"(25, 30)",ALIANZA UNION FEDERAL,4.745706728375397e-71,1.044423904352211e-10,0.030982723294719718
"(25, 30)",ALIANZA NUEVOS AIRES,1.1057897744674242e-58,7.366600780130401e-25,4.656966354830124e-09
"(25, 30)",MOVIMIENTO AVANZADA SOCIALISTA,1.110366752744355e-42,1.1518511358874978e-19,0.00015964653434284964
"(31, 44)",LLA,0.5005575121974819,0.7353082682449836,0.908191975854736
"(31, 44)",NUEVO BUENOS AIRES,7.59255692257094e-57,8.712318083654313e-05,0.04914692894362794
"(31, 44)",LIBERAR,3.8374124998791254e-59,1.5581930606647542e-15,0.018392914700037594
"(31, 44)",FIT,1.337924803918284e-23,4.428567325942603e-07,0.0700284477091575
"(31, 44)",FRENTE PATRIOTA FEDERAL,1.1176584110700115e-05,0.03489239454047466,0.06002682330134317
"(31, 44)",UNION LIBERAL,8.067307972361348e-67,8.348353234327445e-28,0.00895152999268056
"(31, 44)",ALIANZA FUERZA PATRIA,0.00011395358928233798,0.07721886292947644,0.28609497812770995
"(31, 44)",COALICION CIVICA ARI,2.967360890167079e-57,2.4977621828391157e-22,0.01609637057074605
"(31, 44)",MOV. POL. SOC. Y CULTURAL PROYECTO SUR,2.341060980950291e-45,1.0895917036601815e-16,0.020570712238992206
"(31, 44)",PROPUESTA FEDERAL PARA EL CAMBIO,1.355471583252225e-07,0.07474021778467946,0.13803585474659516
"(31, 44)",ALIANZA PROVINCIAS UNIDAS,1.4867266648681782e-83,5.8973151992977935e-18,0.06189266919096085
"(31, 44)",ALIANZA POTENCIA,9.253841721106248e-14,0.009570380336567302,0.08470540628221943
"(31, 44)",ALIANZA UNION FEDERAL,5.8780589538375825e-46,0.0006199694482371201,0.015336984697392137
"(31, 44)",ALIANZA NUEVOS AIRES,7.74865433891725e-52,2.2658052258554145e-24,0.0016166389500185706
"(31, 44)",MOVIMIENTO AVANZADA SOCIALISTA,1.4169835969689571e-12,0.016280480907199274,0.045111234019387034
"(45, 60)",LLA,0.7437399632970939,0.9429550693487178,0.9800081992554953
"(45, 60)",NUEVO BUENOS AIRES,4.784566276288581e-112,2.821087464739377e-24,0.046822107482711504
"(45, 60)",LIBERAR,1.0498828489331204e-173,1.4103607515021931e-58,0.0025767620355565506
"(45, 60)",FIT,3.191326931782412e-17,0.003866159377416762,0.12798463241538613
"(45, 60)",FRENTE PATRIOTA FEDERAL,1.7364475296123834e-47,3.1790908846735494e-23,2.570761557314041e-08
"(45, 60)",UNION LIBERAL,1.672846532096297e-132,5.68457330673246e-60,4.264080169471008e-24
"(45, 60)",ALIANZA FUERZA PATRIA,3.5366765707828714e-25,4.5187182163921586e-15,0.0004398668540931151
"(45, 60)",COALICION CIVICA ARI,1.6189610333603507e-58,2.5312552027143464e-08,0.03383697004974487
"(45, 60)",MOV. POL. SOC. Y CULTURAL PROYECTO SUR,7.559134118158658e-08,0.020095073892123977,0.03282014585966344
"(45, 60)",PROPUESTA FEDERAL PARA EL CAMBIO,1.2352791649807476e-40,1.2864516925119283e-16,0.019771392618357413
"(45, 60)",ALIANZA PROVINCIAS UNIDAS,3.7089461002082563e-119,3.4734315396097826e-26,0.06608690335152524
"(45, 60)",ALIANZA POTENCIA,2.3068316139034775e-39,1.5694577134809182e-12,0.02801512690007229
"(45, 60)",ALIANZA UNION FEDERAL,4.545114027866643e-150,3.751826847600467e-64,4.568296410579244e-21
"(45, 60)",ALIANZA NUEVOS AIRES,5.4584947053532675e-33,0.014553972522678978,0.0323022978573947
"(45, 60)",MOVIMIENTO AVANZADA SOCIALISTA,2.4213023955611436e-33,3.9085231352799964e-05,0.04094505034831954
"(61, 200)",LLA,9.13328954220554e-09,0.18479116517843375,0.4938295356199573
"(61, 200)",NUEVO BUENOS AIRES,2.1688013403998147e-42,0.014621638271466179,0.06722630493962434
"(61, 200)",LIBERAR,2.0713895771113727e-219,5.013507041553695e-100,8.808747796710264e-13
"(61, 200)",FIT,1.2702743167073214e-22,0.02099821651192729,0.1283194760107821
"(61, 200)",FRENTE PATRIOTA FEDERAL,2.3891577173135482e-39,0.004710717217481763,0.04129663114296906
"(61, 200)",UNION LIBERAL,1.197587551463173e-134,2.670211633963791e-34,0.01736218477056289
"(61, 200)",ALIANZA FUERZA PATRIA,0.29587906440657236,0.5035282220683411,0.6955153942034187
"(61, 200)",COALICION CIVICA ARI,8.877421572817445e-52,0.01618825169312884,0.049228078008144986
"(61, 200)",MOV. POL. SOC. Y CULTURAL PROYECTO SUR,1.4306568781868572e-09,0.01303722520173064,0.03518525965470613
"(61, 200)",PROPUESTA FEDERAL PARA EL CAMBIO,3.5562356632558712e-59,3.728227257834098e-10,0.08961505240675306
"(61, 200)",ALIANZA PROVINCIAS UNIDAS,0.023144272540158238,0.10734127028869574,0.13287626939463118
"(61, 200)",ALIANZA POTENCIA,3.459942582970299e-15,0.059112753665936824,0.12217962439006104
"(61, 200)",ALIANZA UNION FEDERAL,2.1414707417773747e-126,4.744610484942294e-33,0.01198574475647753
"(61, 200)",ALIANZA NUEVOS AIRES,5.3292361096052194e-61,0.003233765224639489,0.019785406090985516
"(61, 200)",MOVIMIENTO AVANZADA SOCIALISTA,8.479670495619282e-44,0.011598325943337304,0.04174994809758818
