zona	poligono	nombre_interseccion	lat	lon	orden
ZONA 1	1	COLON ALEM	-38.892977	-62.080383	1
ZONA 1	1	ALEM JUJUY	-38.875839	-62.058523	2
ZONA 1	1	JUJUY QUINTANA	-38.867703	-62.069156	3
ZONA 1	1	QUINTANA BUCHARDO	-38.868538	-62.074434	4
ZONA 1	1	BUCHARDO ISLAS MALVINAS	-38.863751	-62.075754	5
ZONA 1	1	ISLAS MALVINAS PASO	-38.864821	-62.081928	6
ZONA 1	1	PASO ITALIA	-38.858651	-62.083618	7
ZONA 1	1	ITALIA COLON	-38.859553	-62.089506	8
ZONA 2	1	COLON ITALIA	-38.859553	-62.089506	1
ZONA 2	1	ITALIA PASO	-38.858651	-62.083618	2
ZONA 2	1	PASO RIO DULCE	-38.855568	-62.084442	3
ZONA 2	1	RIO DULCE ESPORA	-38.854774	-62.079973	4
ZONA 2	1	ESPORA RIO GRANDE	-38.853838	-62.079941	5
ZONA 2	1	RIO GRANDE BUCHARDO	-38.85355	-62.078525	6
ZONA 2	1	BUCHARDO RIO COLORADO	-38.851779	-62.078986	7
ZONA 2	1	RIO COLORADO AVELLANEDA	-38.851453	-62.077522	8
ZONA 2	1	AVELLANEDA RIO BERMEJO	-38.849669	-62.077999	9
ZONA 2	1	RIO BERMEJO PASO	-38.850952	-62.085686	10
ZONA 2	1	PASO RIO JURAMENTO	-38.846377	-62.087038	11
ZONA 2	1	RIO JURAMENTO COLON	-38.847299	-62.092872	12
ZONA 2	2	ALEM SARGENTO CABRAL	-38.877348	-62.060361	1
ZONA 2	2	SARGENTO CABRAL HIPOLITO IRIGOYEN	-38.880626	-62.055941	2
ZONA 2	2	HIPOLITO IRIGOYEN TUCUMAN	-38.884142	-62.060211	3
ZONA 2	2	TUCUMAN SARMIENTO	-38.889078	-62.05351	4
ZONA 2	2	SARMIENTO CORRIENTES	-38.889199	-62.057904	5
ZONA 2	2	CORRIENTES VELEZ SARSFIELD	-38.896725	-62.067218	6
ZONA 2	2	VELEZ SARSFIELD ALEM	-38.890296	-62.076069	7
ZONA 2	3	ISLAS MALVINAS MURATURE	-38.864262	-62.07858	1
ZONA 2	3	MURATURE PUERTO MADRYN	-38.85963	-62.079878	2
ZONA 2	3	PUERTO MADRYN PASO	-38.860156	-62.083204	3
ZONA 2	3	PASO ISLAS MALVINAS	-38.864833	-62.081957	4
ZONA 3	1	JUJUY CATAMARCA	-38.875535	-62.058959	1
ZONA 3	1	CATAMARCA FORMOSA	-38.870745	-62.052925	2
ZONA 3	1	FORMOSA LA PAZ	-38.862212	-62.06404	3
ZONA 3	1	LA PAZ RIO NEGRO	-38.860649	-62.062045	4
ZONA 3	1	RIO NEGRO RECONQUISTA	-38.859726	-62.063273	5
ZONA 3	1	RECONQUISTA SANTA CRUZ	-38.86288	-62.067356	6
ZONA 3	1	SANTA CRUZ PROLONGACION PUERTO MADRYN	-38.857923	-62.073538	7
ZONA 3	1	PUERTO MADRYN MURATURE	-38.859656	-62.079845	8
ZONA 3	1	MURATURE ISLAS MALVINAS	-38.864268	-62.078589	9
ZONA 3	1	ISLAS MALVINAS BUCHARDO	-38.86375	-62.075757	10
ZONA 3	1	BUCHARDO QUINTANA	-38.868537	-62.074448	11
ZONA 3	1	QUINTANA JUJUY	-38.86771	-62.06918	12
ZONA 3	2	NICARAGUA VICENTE LOPEZ	-38.814661	-62.099134	1
ZONA 3	2	VICENTE LOPEZ LAS GUAYANAS	-38.812437	-62.09628	2
ZONA 3	2	LAS GUAYANAS ANDRADE	-38.806543	-62.104015	3
ZONA 3	2	ANDRADE RUTA NACIONAL 229	-38.809502	-62.107593	4
ZONA 3	2	RUTA NACIONAL 229 HERNANDEZ	-38.814364	-62.106263	5
ZONA 3	2	HERNANDEZ HONDURAS	-38.813281	-62.104799	6
ZONA 3	2	HONDURAS OBLIGADO	-38.815471	-62.101859	7
